id,console-name,product-name,loose-price,cib-price,new-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,gamestop-price,gamestop-trade-price,upc
16491,3DO,20th Century Video Almanac,$6.53 ,$14.99 ,$19.99 ,$1.38 ,$6.89 ,$3.20 ,$15.99 ,,,
16492,3DO,3D Atlas,$11.50 ,$23.64 ,$25.95 ,$2.40 ,$11.99 ,$7.50 ,$24.99 ,,,
16493,3DO,3DO Buffet,$4.47 ,$8.20 ,$16.03 ,$0.94 ,$4.69 ,$1.70 ,$8.59 ,,,40421291946
16662,3DO,3DO Console,$132.39 ,$153.42 ,$600.94 ,$55.60 ,$138.99 ,$64.40 ,$160.99 ,,,531740
40421,3DO,3DO Console FZ-10,$66.00 ,$145.27 ,$296.85 ,$27.60 ,$68.99 ,$61.20 ,$152.99 ,,,
40422,3DO,3DO Console Goldstar,$119.99 ,$174.99 ,$446.26 ,$50.40 ,$125.99 ,$73.60 ,$183.99 ,,,
40424,3DO,3DO Console Robo,,,,,,,,,,
40423,3DO,3DO Console Sanyo,,,,,,,,,,
40414,3DO,3DO Controller,$22.99 ,$45.82 ,$91.64 ,$7.20 ,$23.99 ,$19.20 ,$47.99 ,,,
35962,3DO,3DO Maniac Pack,$39.00 ,$52.50 ,$269.99 ,$16.40 ,$40.99 ,$22.00 ,$54.99 ,,,40421292462
16496,3DO,Alone in the Dark,$10.45 ,$30.32 ,$60.64 ,$2.20 ,$10.99 ,$9.60 ,$31.99 ,,,
16497,3DO,Alone in the Dark 2,$18.66 ,$39.99 ,$84.08 ,$4.00 ,$19.99 ,$16.80 ,$41.99 ,,,40421291069
16498,3DO,Animals!,$13.23 ,$14.99 ,$37.08 ,$2.80 ,$13.99 ,$3.20 ,$15.99 ,,,
16502,3DO,BC Racers,$24.95 ,$29.10 ,$58.20 ,$7.80 ,$25.99 ,$9.30 ,$30.99 ,,,
16499,3DO,Ballz: The Directors Cut,$12.50 ,$14.42 ,$27.57 ,$2.60 ,$12.99 ,$3.00 ,$14.99 ,,,
16500,3DO,Battle Chess,$7.42 ,$10.11 ,$26.99 ,$1.56 ,$7.79 ,$2.20 ,$10.99 ,,,
16501,3DO,BattleSport,$15.24 ,$15.44 ,$36.11 ,$3.20 ,$15.99 ,$3.20 ,$15.99 ,,,7.90561E+11
16504,3DO,Blade Force,$9.97 ,$11.81 ,$37.68 ,$2.00 ,$9.99 ,$2.40 ,$11.99 ,,,7.90561E+11
16505,3DO,Blonde Justice,$57.14 ,$60.70 ,$121.41 ,$24.00 ,$59.99 ,$25.60 ,$63.99 ,,,
16506,3DO,Brain Dead 13,$19.99 ,$40.71 ,$54.36 ,$6.30 ,$20.99 ,$17.20 ,$42.99 ,,,92667650285
16507,3DO,Burning Soldier,$8.00 ,$17.51 ,$35.50 ,$1.68 ,$8.39 ,$3.60 ,$17.99 ,,,37988830091
16508,3DO,Bust-A-Move,$16.65 ,$38.51 ,$46.00 ,$3.40 ,$16.99 ,$16.00 ,$39.99 ,,,37988830367
16509,3DO,C.P.U. Bach,$9.24 ,$14.86 ,$20.09 ,$1.94 ,$9.69 ,$3.20 ,$15.99 ,,,19703381163
16510,3DO,Cannon Fodder,$39.77 ,$47.02 ,$74.99 ,$16.80 ,$41.99 ,$19.60 ,$48.99 ,,,52145930117
16511,3DO,Captain Quazar,$35.99 ,$59.20 ,$92.00 ,$15.20 ,$37.99 ,$24.80 ,$61.99 ,,,7.90561E+11
16512,3DO,Carrier: Fortress at Sea,$15.15 ,$33.72 ,$67.44 ,$3.20 ,$15.99 ,$10.50 ,$34.99 ,,,
16513,3DO,Casper,$28.00 ,$42.00 ,$64.98 ,$8.70 ,$28.99 ,$17.60 ,$43.99 ,,,
16514,3DO,Club 3DO: Station Invasion,$8.55 ,$9.05 ,$44.99 ,$1.80 ,$8.99 ,$1.90 ,$9.49 ,,,
16515,3DO,Corpse Killer,$12.99 ,$43.80 ,$60.56 ,$2.80 ,$13.99 ,$18.40 ,$45.99 ,,,
16516,3DO,Coven,$55.69 ,$59.00 ,$118.01 ,$23.20 ,$57.99 ,$24.80 ,$61.99 ,,,
16517,3DO,Cowboy Casino,$7.24 ,$19.86 ,$30.97 ,$1.52 ,$7.59 ,$6.30 ,$20.99 ,,,7.6914E+11
